nmId;rating;text
684264302;3;"Хорошо смывания Пишут приятный запах но на самом деле пахнет хозяйственном мылом 🤦🏼‍♀️ И Нез наю рекомендовать или нет вообще да но замах это ужас"
684264302;4;"После нескольких дней использования пошла сыпь,может быть у меня аллергия на какой-то компонент"
684264302;5;"Брала второй раз ,мне очень понравилась,очень хорошо увлажняет кожу ,убирает спустя несколько дней постакне ,осветлила немного кожу"
684264302;4;"Хорошая матовая,лёгкая. Нооо очень желтит"
684264302;5;"Хороший , протестировала 👍👍👍, спасибочки"
684264302;5;"Отличный крем.ложиться ровно.матовый,но не забивает!!!"
684264302;3;"Очень сильно скатывается, цвет желтый"
684264302;5;"Отличная сыворотка, очень хорошо увлажняет и снимает воспаления. Я бы закупила на целый год вперёд ее Будет ли ещё в наличии??"
684264302;3;"Очень желтит, думала может подстроиться под цвет кожи (нет)"
684264302;5;"Хороший тональный, рекомендую"
684264302;5;"Очень понравилась тоналка. Ложится ровно, кожа выглядит лучше и естественно. Не ощущается на лице. Буду брать ещё."
684264302;1;"Пришла просто оранжевого цвета, ужасный состав, ложится комочками, половина нету, коробка испорчена, ещё больше окисляется. Вызвала прыщи и ужасную аллергию, лучше не берите если не хотите себе испортить кожу."
684264302;1;"ПРИШЛА  ЗА ЗАКАЗОМ В КОШЕЛЬКЕ  ДЕНЕГ НЕ БЫЛО  НЕМОГЛА ПОЛОЖИТЬ НЕ БЫЛО ИНТЕР ПОПРОСИЛА ОТЛОЖИТЬ РАБОТНИК СКАЗАЛА ТОЛЬКО ОТМЕНА, МНЕ ПРИШЛОСЬ ЗАКАЗЫВАТЬ СНОВА ХОТЯ ЗАКАЗ ЕЩЁ ЛЕЖИТ В ПУНКТЕ  ЕЩЁ 3 ДНЯ ЖДАТЬ. МОЖНО ТАК."
684264302;4;"все нормик только минус в том что она очень плохо пениться, и запах как по мне не очень"
684264302;4;"Для зрелой кожи не пойдет и сухой тоже,морщинки выделяет."
684264302;5;"мне очень понравился этот продукт. перекрытие средней плотности, что позволяет слегка корректировать тон кожи, не создавая плотного покрытия. цвет у него слегка желтоватый, но это может быть плюсом для тех, кто ищет теплый оттенок. после нанесения пудры кожа выглядит идеально: тон ложится ровно, без разводов и полос, не скатывается в течение дня и не подчеркивает шелушения, что особенно важно для сухой кожи. продукт также имеет приятный ненавязчивый аромат и не вызывает раздражения. в целом, это отличное средство для ежедневного использования, которое помогает создать естественный и ухоженный вид"
684264302;3;"Хорошо ложится Желтит"
684264302;5;"Качество Минусов нет Удобно пользоваться"
684264302;1;"Ничего Оранжевый оттенок Ужасная тоналка оранжевая, почувствовала себя Доналдом Трампом…"
684264302;5;"Тональный крем просто бомба, не подчёркивает морщинки, закрывает всепокраснения конечно Не идеально перекрывает но покраснение и высыпания да, очень понравился Когда закончится ещё закажу (за такие деньги просто огонь)"
684264302;5;"Пришло хорошо упаковано. Рекомендую"
684264302;5;"Упаковка хорошая, тон пришёл как заказывала, буду пробовать, позже отпишусь."
684264302;2;"Желтит! тон совсем не как на фото"
684264302;5;"Aʼlo darajada yaxshi Kamchilik yoq Zoʼr"
684264302;1;"Ни чего Просто ужас хуже тоналки я ещё не видела Просто рыжий оранжевый цве Просто ужас как такое можно продавать Измените пожалуйста цвет тоналки"
684264302;5;"Хорошая плотно ложится"
684264302;2;"Тон желтит и на светлой коже темно смотрится"
684264302;1;"Водостойкий Пришел оранжевого цвета, тон вообще не подходит"
684264302;4;"Хороший тональник, но очень плотный. Прям как маска. На какие-то мероприятия - самое то, хорошо держится прям 👌 матовое покрытие Но на каждый день, тем более летом, не особо подходит"
684264302;5;"Стильный флакончик! Удобно пользоваться ! Тон кремы соответствует требованиям и заявленному !!!"
684264302;1;"Ужасно, оранжевый тон хотя написано 01, кто хочет гладкий тон не покупайте, пожалела 100 раз. Стала оранжевой"
684264302;4;"Норм Слишком желтый для меня"
684264302;5;"Довольна, не много желтит, если сильно не перебарщивать, хорошо растушёвывать, то вполне 👌"
684264302;5;"первое впечатление норм, буду пробовать"
684264302;1;"Начал жжеч глаза, пошло покраснение"
684264302;5;"Отличный тональный крем"
684264302;5;"Очень хорошо ложится на кожу,супер"
684264302;1;"Плюсов никаких Задержка товара , написано тон 1 на деле тон 2,с желтым оттенком Как вернуть товар и получить обратно деньги ?"
684264302;5;"Покупаю только этого производителя тональный крем, хорошо матирует и увлажняет кожу. Хватает на долгое время. Минусов нет."
684264302;5;"Мне подошло. Немного нанесла, распределила на коже и приятный матовый финиш. Скрывает пигментные пятна, замаскировал маленький синячок и царапинку! 😊"
684264302;3;"Норм тон,но есть свои минусы Он придает коже желтизну,и сам тон очень плотно ложиться на лицо,кожа из-за него вообще не дышит,как будто он жирный,запаха в принципе нет,просто качество подводит,второй раз заказывать не буду"
684264302;5;"Плотная текстура, тон идеально ложится на кожу"
684264302;5;"Хорошая умывалка смывает даже самый плотный тон!"
684264302;3;"Не самое лучшее качество. Желтит сильно"
684264302;4;"скатывается , плохо пахнет"
684264302;5;"Хороший тональный крем, достаточно плотный, ложится и наносится кистью легко и равномерно, в работе понравился"
684264302;1;"Фигня. Воняет просрочкой. Вот не помню была в коробочке или нет. Дату не глянула. Кожу стягивает."
684264302;3;"Упаковка цвет не тот Желтит,хотя заказывала самы светлый оттенок"
684264302;5;"Приятная пенка по бюджетной цене, выполняет все наложенные на нее обязанности: очищает, не вызывает аллергии, приятно пахнет и экономно расходуется. Меня все устроило."
684264302;2;"Получила разбитый флакон"
684264302;1;"Все разбилось. Я требую возврат денег"
684264302;5;"Просто супер я такого результата не ожидала"
684264302;3;"Хороший.. Брала 1 оттенок в надежде на 1 оттенок. В понимании, что консилер в первом должен быть светлее не ожидала, что тон будет ЖЕЛТЫМ Очень и очень расстроена"
684264302;5;"Все отлично, качество, упаковка."
684264302;4;"Балет номер два. Ориентироваться на отзывы не стоит. Оценивается теперь доставка( ""Пришло все целое.Спасибо."") Снимаю одну звезду только,т.к. цена равно качество.  Продавец не завысил цену.  Отнять стоимость флакона( стекла),стоимость работ на производстве, логистику,упаковку и т.д ,получится себестоимость крема три копейки,ну априори он не будет качественным и "" работать"",как нужно. Жаль,что чей то труд летит в мусор."
684264302;5;"Хороший тональный крем,и взяла еще такой же фирмы пудру бесцветную ,понравилось!За такую цену это даже отличное качество!Спасибо"
